title,price,release,link
game,Free,"7 Dec, 2026",https://store.steampowered.com/app/1372870/game/?snr=1_7_7_151_150_1
Counter-Strike: Global Offensive,Free to Play,"21 Aug, 2012",https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_151_150_1
Occupy Mars: The Game,$12.49,"10 May, 2023",https://store.steampowered.com/app/758690/Occupy_Mars_The_Game/?snr=1_7_7_151_150_1
Destiny 2,Free To Play,"1 Oct, 2019",https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_151_150_1
The Outlast Trials,$29.99,"18 May, 2023",https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_151_150_1
Apex Legends™,Free to Play,"4 Nov, 2020",https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_151_150_1
Starship Troopers: Extermination,$12.49,"17 May, 2023",https://store.steampowered.com/app/1268750/Starship_Troopers_Extermination/?snr=1_7_7_151_150_1
PUBG: BATTLEGROUNDS,Free to Play,"21 Dec, 2017",https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_151_150_1
EA SPORTS™ FIFA 23,discount from $69.99 to $20.99 (70%),"29 Sep, 2022",https://store.steampowered.com/app/1811260/EA_SPORTS_FIFA_23/?snr=1_7_7_151_150_1
Warframe,Free to Play,"25 Mar, 2013",https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_151_150_1
Rust,$19.99,"8 Feb, 2018",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_151_150_1
Yu-Gi-Oh! Master Duel,Free To Play,"18 Jan, 2022",https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_151_150_1
"Warhammer 40,000: Boltgun",discount from $17.99 to $16.19 (10%),"23 May, 2023",https://store.steampowered.com/app/2005010/Warhammer_40000_Boltgun/?snr=1_7_7_151_150_1
War Thunder  VR Supported,Free to Play,"15 Aug, 2013",https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_151_150_1
STAR WARS Jedi: Survivor™,$69.99,"27 Apr, 2023",https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/?snr=1_7_7_151_150_1
Grand Theft Auto V,none,"13 Apr, 2015",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_151_150_1
The Sims™ 4,Free To Play,"18 Jun, 2020",https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_151_150_1
